CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Georgia,2 710,2 734,2 872,2 877,2 936,3 178,3 172,3 461,3 345,3 461
Russian Fed,49 823,50 629,51 581,51 781,51 787,52 170,52 614,53 913,54 900,56 217
Turkey,22 186,25 551,27 940,31 516,34 446,38 746,42 230,44 389,49 199,53 233
Europe,395 036,418 841,439 808,464 891,488 495,512 781,537 416,574 735,608 346,647 398
Albania,1 629,1 782,1 726,1 799,1 914,2 049,2 107,2 177,2 307,2 312
Andorra,51,51,51,51,51,51,52,53,54,55
Austria,16 656,17 192,17 839,18 473,19 336,19 596,20 376,20 774,21 126,22 014
Belarus,55,74,81,97,222,300,390,415,492,601
Belgium,5 122,5 765,5 993,6 363,6 731,7 428,8 263,9 511,11 283,12 402
Bosnia Herzg,1 702,1 703,1 719,1 725,1 776,1 808,1 886,1 931,2 002,1 977
Bulgaria,4 021,4 076,4 120,4 137,4 143,4 294,4 316,4 322,4 361,4 452
Croatia,2 332,2 475,2 577,2 713,2 793,2 916,2 979,3 068,3 255,3 454
Cyprus,173,192,221,244,252,278,289,322,400,486
Czechia,3 998,4 095,4 170,4 214,4 212,4 272,4 265,4 349,4 402,4 415
Denmark,5 949,6 584,6 750,7 109,7 410,8 194,8 894,8 981,9 357,10 340
Estonia,441,519,561,594,607,615,609,716,829,989
Faroe Islands,48,48,60,60,60,60,56,53,59,59
Finland,5 213,5 516,5 747,6 142,6 746,7 512,7 563,7 890,8 774,9 629
France,37 095,38 692,40 563,42 799,44 845,47 820,50 539,53 463,55 574,59 546
Germany,78 150,83 766,90 325,97 851,104 436,112 514,118 905,125 068,131 731,138 151
Greece,6 570,7 672,8 010,8 138,8 424,8 686,9 020,9 923,10 921,11 520
Hungary,724,749,1 024,1 077,1 048,1 224,1 630,2 288,3 022,3 022
Iceland,2 543,2 652,2 653,2 658,2 659,2 711,2 862,2 869,2 879,2 879
Ireland,1 999,2 227,2 592,2 760,3 117,3 676,4 046,4 529,4 744,4 813
Italy,46 721,48 857,49 526,50 417,51 195,52 128,53 161,54 373,55 493,56 987
Kosovo*,44,44,44,44,81,121,121,139,137,242
Latvia,1 701,1 761,1 778,1 782,1 778,1 796,1 779,1 826,1 826,1 857
Lithuania,451,532,550,698,775,800,853,896,1 038,1 266
